,userID,stayTime,你认为客户会购买吗？填“购买”或“不购买”,shopping-minute,shopping-second
0,20,2049,,34,9
1,145,753,,12,33
2,471,3371,,56,11
3,474,4,,0,4
4,528,1464,,24,24
5,578,1379,,22,59
6,619,2744,,45,44
7,697,441,,7,21
8,1006,2090,,34,50
9,1081,2801,,46,41
10,1130,2827,,47,7
11,1315,1713,,28,33
12,1440,423,,7,3
13,1539,3250,,54,10
14,2224,2868,,47,48
15,2319,2118,,35,18
16,2518,1161,,19,21
17,2542,1870,,31,10
18,2685,320,,5,20
19,2905,2429,,40,29
20,2925,2710,,45,10
21,3293,3380,,56,20
22,3450,2468,,41,8
23,3470,3373,,56,13
24,3857,3084,,51,24
25,4216,3157,,52,37
26,4240,682,,11,22
27,4380,3459,,57,39
28,4659,2757,,45,57
29,4718,188,,3,8
30,5127,2238,,37,18
31,5128,2594,,43,14
32,5129,846,,14,6
33,5130,1631,,27,11
34,5134,3139,,52,19
35,5139,910,,15,10
36,5145,2422,,40,22
37,5146,1187,,19,47
38,5155,610,,10,10
39,5165,1141,,19,1
40,5174,547,,9,7
41,5188,3490,,58,10
42,5202,2477,,41,17
43,5219,1542,,25,42
44,5380,439,,7,19
45,5387,616,,10,16
46,5500,15,,0,15
47,5501,3577,,59,37
48,5513,1905,,31,45
49,5565,3571,,59,31
